Date,Stage Above Bed (m),Water Surface Elevation (masl),Measured Discharge Q (m³/s),Field Notes,Quality,is_valid,validation_notes
2017-01-05,0.4,245.42,0.0989,Normal,Good,True,
2017-02-05,0.505,245.525,0.165,Normal,Good,True,
2017-03-04,0.498,245.518,0.1891,Normal,Good,True,
2017-04-08,0.775,245.795,0.4886,Normal,Good,True,
2017-05-05,0.689,245.709,0.3734,Normal,Good,True,
2017-06-12,0.575,245.595,0.2531,Normal,Good,True,
2017-07-04,0.328,245.348,0.0417,Normal,Good,True,
2017-08-11,0.29,245.31,0.0287,Normal,Good,True,
2017-09-12,0.423,245.443,0.1099,Normal,Good,True,
2017-10-04,0.475,245.495,0.1155,Normal,Good,True,
2017-11-21,0.372,245.392,0.0769,Normal,Good,True,
2017-12-21,0.206,245.226,0.0022,Normal,Good,True,
2018-01-22,0.277,245.297,0.0218,Normal,Good,True,
2018-02-20,0.589,245.609,0.2417,Normal,Good,True,
2018-03-17,0.896,245.916,0.5916,Normal,Good,True,
2018-04-25,0.856,245.876,0.6331,Normal,Good,True,
2018-05-14,0.649,245.669,0.3175,Normal,Good,True,
2018-06-10,0.385,245.405,0.0837,Normal,Good,True,
2018-07-25,0.376,245.396,0.0651,Normal,Good,True,
2018-08-18,0.383,245.403,0.0737,Normal,Good,True,
2018-09-16,0.71,245.73,0.4903,Normal,Good,True,
2018-10-10,1.045,246.065,0.9175,Normal,Good,True,
2018-11-13,0.816,245.836,0.519,Normal,Good,True,
2018-12-25,0.525,245.545,0.1471,Vegetation / possible backwater,Fair,True,
2019-01-03,0.582,245.602,0.2293,Normal,Good,True,
2019-02-18,0.336,245.356,0.0487,Normal,Good,True,
2019-03-24,0.645,245.665,0.2958,Shallow flow / low velocity,Fair,True,
2019-04-18,0.878,245.898,0.6211,Normal,Good,True,
2019-05-25,1.048,246.068,0.9135,Normal,Good,True,
2019-06-21,0.354,245.374,0.0522,Normal,Good,True,
2019-07-21,0.792,245.812,0.4662,Normal,Good,True,
2019-08-25,0.338,245.358,0.0491,Normal,Good,True,
2019-09-03,0.509,245.529,0.2039,Normal,Good,True,
2019-10-23,0.421,245.441,0.0823,Vegetation / possible backwater,Fair,True,
2019-11-05,0.465,245.485,0.1351,Normal,Good,True,
2019-12-16,0.519,245.539,0.1798,Normal,Good,True,
2020-01-25,0.796,245.816,0.4779,Normal,Good,True,
2020-02-17,0.684,245.704,0.3774,Shallow flow / low velocity,Fair,True,
2020-03-08,0.617,245.637,0.3348,Normal,Good,True,
2020-04-18,0.771,245.791,0.4439,Normal,Good,True,
2020-05-07,0.769,245.789,0.493,Normal,Good,True,
2020-06-06,0.698,245.718,0.3796,Shallow flow / low velocity,Fair,True,
2020-07-18,0.375,245.395,0.0689,Normal,Good,True,
2020-08-10,0.193,245.213,0.0006,Normal,Good,True,
2020-09-13,0.917,245.937,0.68,Normal,Good,True,
2020-10-13,0.574,245.594,0.2492,Normal,Good,True,
2020-11-14,0.419,245.439,0.1059,Normal,Good,True,
2020-12-22,0.264,245.284,0.0162,Normal,Good,True,
2021-01-05,0.733,245.753,0.4074,Normal,Good,True,
2021-02-13,0.548,245.568,0.2281,Normal,Good,True,
2021-03-07,0.864,245.884,0.6283,Normal,Good,True,
2021-04-16,0.723,245.743,0.4453,Normal,Good,True,
2021-05-12,0.695,245.715,0.348,Normal,Good,True,
2021-06-07,0.438,245.458,0.0881,Normal,Good,True,
2021-07-07,0.462,245.482,0.1426,Normal,Good,True,
2021-08-15,0.552,245.572,0.2087,Normal,Good,True,
2021-09-04,0.528,245.548,0.1546,Normal,Good,True,
2021-10-08,0.455,245.475,0.1545,Normal,Good,True,
2021-11-06,0.611,245.631,0.2258,Shallow flow / low velocity,Fair,True,
2021-12-05,0.464,245.484,0.1419,Normal,Good,True,
2022-01-16,0.42,245.44,0.1012,Normal,Good,True,
2022-02-08,0.298,245.318,0.0284,Normal,Good,True,
2022-03-14,0.699,245.719,0.4231,Normal,Good,True,
2022-04-18,0.857,245.877,0.5753,Normal,Good,True,
2022-05-09,0.831,245.851,0.5134,Normal,Good,True,
2022-06-25,0.43,245.45,0.1259,Normal,Good,True,
2022-07-15,0.297,245.317,0.0339,Normal,Good,True,
2022-08-07,0.35,245.37,0.0562,Normal,Good,True,
2022-09-22,0.548,245.568,0.1962,Normal,Good,True,
2022-10-14,0.46,245.48,0.1421,Normal,Good,True,
2022-11-08,0.465,245.485,0.1173,Normal,Good,True,
2022-12-04,0.626,245.646,0.3155,Normal,Good,True,
2023-01-13,0.949,245.969,0.7073,Normal,Good,True,
2023-02-10,0.549,245.569,0.2091,Normal,Good,True,
2023-03-21,0.859,245.879,0.6143,Normal,Good,True,
2023-04-03,0.904,245.924,0.7115,Normal,Good,True,
2023-05-05,0.383,245.403,0.0745,Normal,Good,True,
2023-06-22,0.227,245.247,0.0055,Normal,Good,True,
2023-07-06,0.312,245.332,0.035,Normal,Good,True,
2023-08-05,0.577,245.597,0.2523,Normal,Good,True,
2023-09-17,0.524,245.544,0.2238,Normal,Good,True,
2023-10-23,0.534,245.554,0.1907,Normal,Good,True,
2023-11-13,0.574,245.594,0.2315,Normal,Good,True,
2023-12-20,0.373,245.393,0.0826,Normal,Good,True,
2024-01-06,0.488,245.508,0.1601,Normal,Good,True,
2024-02-25,0.401,245.421,0.0799,Normal,Good,True,
2024-03-16,1.149,246.169,1.2414,Shallow flow / low velocity,Fair,True,
2024-04-14,0.829,245.849,0.5556,Normal,Good,True,
2024-05-21,0.634,245.654,0.312,Normal,Good,True,
2024-06-19,0.493,245.513,0.1573,Shallow flow / low velocity,Fair,True,
2024-07-06,0.464,245.484,0.143,Normal,Good,True,
2024-08-07,0.525,245.545,0.2105,Normal,Good,True,
2024-09-11,0.499,245.519,0.1571,Normal,Good,True,
2024-10-18,0.645,245.665,0.3091,Normal,Good,True,
2024-11-09,0.406,245.426,0.0972,Normal,Good,True,
2024-12-15,0.528,245.548,0.2053,Normal,Good,True,
2025-01-20,0.668,245.688,0.354,Normal,Good,True,
2025-02-20,0.377,245.397,0.0738,Normal,Good,True,
2025-03-09,0.535,245.555,0.2117,Normal,Good,True,
2025-04-03,0.64,245.66,0.3506,Normal,Good,True,
2025-05-08,0.662,245.682,0.2804,Vegetation / possible backwater,Fair,True,
2025-06-05,0.489,245.509,0.1655,Normal,Good,True,
2025-07-16,0.463,245.483,0.1267,Normal,Good,True,
2025-08-25,0.19,245.21,0.0004,Normal,Good,True,
2025-09-10,0.577,245.597,0.2082,Normal,Good,True,
2025-10-04,0.61,245.63,0.3093,Normal,Good,True,
2025-11-11,0.352,245.372,0.0613,Normal,Good,True,
2025-12-14,0.568,245.588,0.216,Normal,Good,True,
2026-01-23,0.469,245.489,0.1396,Normal,Good,True,
2026-02-03,0.426,245.446,0.1237,Normal,Good,True,
2026-03-12,0.7,245.72,0.3869,Normal,Good,True,
2026-04-06,0.711,245.731,0.4038,Normal,Good,True,
2026-05-22,0.805,245.825,0.5281,Normal,Good,True,
2026-06-05,0.492,245.512,0.1419,Normal,Good,True,
2026-07-24,0.58,245.6,0.2151,Normal,Good,True,
